Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
XOM,Exxon Mobil Corporation,115.05,-1.94,-1.66%,15.749M,17.174M,468.366B,8.82,
TSM,Taiwan Semiconductor Manufacturing Company Limited,90.24,0.04,+0.04%,5.869M,12.882M,467.992B,14.06,
JPM,JPMorgan Chase & Co.,127.47,-0.14,-0.11%,8.739M,13.524M,376.458B,10.56,
CVX,Chevron Corporation,167.65,-2.23,-1.31%,5.387M,8.983M,322.304B,9.29,
PFE,Pfizer Inc.,41.5,-0.05,-0.12%,25.918M,23.219M,234.243B,7.6,
BHP,BHP Group Limited,59.96,-0.68,-1.12%,2.658M,3.205M,221.193B,8.34,
TM,Toyota Motor Corporation,138.87,-1.55,-1.10%,"223,837","225,053",194.873B,10.47,
TTE,TotalEnergies SE,62.8,0.08,+0.13%,"980,687",1.802M,154.204B,8.0,
HSBC,HSBC Holdings plc,35.18,0.49,+1.41%,1.415M,2.5M,140.518B,9.38,
SNY,Sanofi,55.93,1.09,+1.99%,2.686M,2.051M,139.681B,15.12,
INTC,Intel Corporation,32.81,-0.02,-0.06%,28.517M,47.762M,138.062B,16.91,
QCOM,QUALCOMM Incorporated,123.0,-0.04,-0.03%,5.261M,7.628M,137.145B,11.77,
UL,Unilever PLC,53.58,0.26,+0.49%,1.958M,1.981M,135.427B,16.44,
COP,ConocoPhillips,106.26,-1.49,-1.38%,4.757M,6.864M,128.774B,7.29,
DE,Deere & Company,369.65,-4.17,-1.12%,1.831M,1.583M,109.535B,13.74,
C,Citigroup Inc.,45.86,0.09,+0.20%,11.58M,20.157M,89.889B,6.45,
RIO,Rio Tinto Group,66.75,-0.1,-0.15%,1.802M,3.343M,108.271B,8.76,
SCHW,The Charles Schwab Corporation,49.35,0.48,+0.98%,28.04M,23.473M,91.829B,14.1,
EQNR,Equinor ASA,28.72,-0.58,-1.98%,3.359M,3.652M,92.4B,3.25,
CB,Chubb Limited,196.8,0.81,+0.41%,1.188M,1.877M,81.504B,15.69,
BTI,British American Tobacco p.l.c.,35.28,0.25,+0.71%,2.633M,3.989M,78.884B,9.67,
CI,The Cigna Group,265.29,-0.59,-0.22%,1.66M,1.764M,78.8B,12.45,
IBN,ICICI Bank Limited,21.7,0.04,+0.18%,3.634M,6.861M,75.758B,19.73,
VALE,Vale S.A.,15.1,-0.08,-0.53%,15.367M,22.585M,70.531B,4.21,
EOG,"EOG Resources, Inc.",119.37,-1.0,-0.83%,2.756M,3.981M,70.157B,9.03,
PBR,Petróleo Brasileiro S.A. - Petrobras,10.69,-0.18,-1.66%,12.685M,22.537M,69.721B,1.9,
PBR-A,Petróleo Brasileiro S.A. - Petrobras,9.51,-0.17,-1.76%,4.06M,8.957M,66.665B,1.7,
SAN,"Banco Santander, S.A.",3.8,0.09,+2.43%,3.129M,5.468M,62.383B,6.33,
FCX,Freeport-McMoRan Inc.,40.29,-0.03,-0.07%,7.762M,12.868M,57.643B,17.22,
OXY,Occidental Petroleum Corporation,63.04,-1.53,-2.37%,10.455M,14.043M,56.845B,5.08,
MPC,Marathon Petroleum Corporation,128.68,-4.03,-3.04%,3.217M,4.012M,56.828B,4.6,
STLA,Stellantis N.V.,17.65,0.07,+0.40%,3.479M,5.381M,56.514B,3.03,
CHTR,"Charter Communications, Inc.",350.27,-2.85,-0.81%,"765,105",1.133M,53.469B,11.59,
NGG,National Grid plc,71.31,0.94,+1.34%,"404,094","302,822",52.447B,14.26,
E,Eni S.p.A.,29.6,0.12,+0.41%,"181,393","425,511",49.512B,3.43,
PNC,"The PNC Financial Services Group, Inc.",121.88,0.45,+0.37%,3.31M,3.48M,49.275B,8.79,
GM,General Motors Company,34.59,-0.5,-1.42%,10.056M,15.484M,49.134B,5.83,
PXD,Pioneer Natural Resources Company,208.16,-2.24,-1.06%,1.693M,2.614M,49.002B,6.68,
VLO,Valero Energy Corporation,132.59,-2.5,-1.85%,3.117M,4.347M,48.772B,4.57,
PSX,Phillips 66,102.84,-1.59,-1.52%,3.665M,3.766M,47.4B,4.42,
ITUB,Itaú Unibanco Holding S.A.,4.8,-0.02,-0.41%,19.168M,33.133M,46.919B,8.14,
ING,ING Groep N.V.,12.43,0.28,+2.30%,2.866M,4.566M,44.947B,11.0,
HMC,"Honda Motor Co., Ltd.",26.13,-0.45,-1.69%,"794,601",1.051M,45.488B,8.46,
TFC,Truist Financial Corporation,32.74,0.72,+2.25%,10.451M,12.613M,43.483B,7.39,
HES,Hess Corporation,140.88,-1.33,-0.94%,1.419M,1.859M,43.135B,20.81,
LYG,Lloyds Banking Group plc,2.39,0.02,+0.84%,12.177M,11.073M,39.8B,6.64,
ADM,Archer-Daniels-Midland Company,78.74,-0.67,-0.84%,2.339M,3.266M,43.027B,10.21,
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",7.12,0.08,+1.14%,1.528M,1.68M,42.81B,6.59,
KMI,"Kinder Morgan, Inc.",17.71,0.0,0.00%,7.616M,13.148M,39.812B,15.81,
ET,Energy Transfer LP,12.51,-0.25,-1.96%,9.482M,13.432M,38.713B,8.94,
DOW,Dow Inc.,54.66,0.02,+0.04%,4.771M,5.238M,38.699B,8.82,
AIG,"American International Group, Inc.",51.08,0.84,+1.67%,3.342M,5.462M,37.476B,3.93,
MFG,"Mizuho Financial Group, Inc.",2.91,-0.01,-0.34%,"653,486",1.272M,36.874B,8.08,
NUE,Nucor Corporation,145.53,2.06,+1.44%,2.13M,1.879M,36.757B,5.05,
COF,Capital One Financial Corporation,94.93,0.09,+0.09%,1.987M,3.473M,36.306B,5.3,
CRH,CRH plc,47.77,0.67,+1.42%,"612,446","747,524",35.444B,13.73,
NTR,Nutrien Ltd.,68.01,-3.42,-4.79%,2.862M,2.21M,34.779B,4.8,
DVN,Devon Energy Corporation,52.91,-0.62,-1.16%,6.127M,10.497M,34.603B,5.8,
CVE,Cenovus Energy Inc.,17.78,-0.6,-3.26%,8.115M,7.49M,34.408B,7.47,
ON,ON Semiconductor Corporation,75.34,-1.2,-1.57%,3.526M,7.042M,33.374B,18.79,
ORAN,Orange S.A.,12.48,0.14,+1.13%,"463,250","471,153",33.182B,15.6,
DHI,"D.R. Horton, Inc.",95.64,-1.75,-1.80%,3.508M,3.025M,32.842B,5.94,
NWG,NatWest Group plc,6.72,0.09,+1.36%,1.051M,1.7M,32.203B,7.55,
AMP,"Ameriprise Financial, Inc.",297.32,-1.17,-0.39%,"407,384","630,137",31.302B,13.21,
BNTX,BioNTech SE,128.9,3.3,+2.63%,"377,322","660,985",31.131B,3.24,
VOD,Vodafone Group Public Limited Company,11.33,0.16,+1.43%,3.848M,7.953M,30.583B,14.34,
HAL,Halliburton Company,32.71,-0.35,-1.06%,5.722M,9.701M,29.685B,18.91,
BCS,Barclays PLC,7.55,0.15,+2.03%,7.642M,7.337M,29.611B,5.1,
OKE,"ONEOK, Inc.",65.69,-0.3,-0.45%,1.892M,2.588M,29.378B,17.11,
HPQ,HP Inc.,29.29,-0.12,-0.41%,3.824M,6.275M,28.998B,11.49,
LEN-B,Lennar Corporation,86.71,-1.52,-1.72%,"67,956","74,025",28.852B,5.39,
LEN,Lennar Corporation,102.06,-1.97,-1.89%,1.621M,2.26M,28.802B,6.34,
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,28.37,0.28,+1.00%,"191,348","229,306",28.104B,19.98,
FERG,Ferguson plc,124.73,0.21,+0.17%,1.124M,1.3M,26.334B,12.64,
FANG,"Diamondback Energy, Inc.",140.55,-2.43,-1.70%,1.684M,2.426M,25.804B,5.81,
ACGL,Arch Capital Group Ltd.,68.94,0.35,+0.51%,1.979M,2.134M,25.682B,18.14,
TEF,"Telefónica, S.A.",4.44,0.04,+0.91%,"722,764",1.015M,25.642B,13.06,
DFS,Discover Financial Services,97.02,-0.38,-0.39%,1.73M,2.515M,25.163B,6.26,
URI,"United Rentals, Inc.",355.27,4.0,+1.14%,1.465M,"927,217",25.202B,11.98,
TROW,"T. Rowe Price Group, Inc.",109.22,-0.37,-0.34%,"978,784",1.777M,24.747B,16.3,
ALB,Albemarle Corporation,194.68,-2.03,-1.03%,2.014M,1.739M,24.329B,8.52,
MT,ArcelorMittal S.A.,28.12,-0.01,-0.04%,1.241M,2.614M,22.773B,2.76,
EC,Ecopetrol S.A.,10.91,-0.23,-2.06%,1.068M,2.208M,22.429B,3.29,
UMC,United Microelectronics Corporation,8.53,0.1,+1.19%,4.374M,7.483M,21.683B,7.48,
HIG,"The Hartford Financial Services Group, Inc.",69.86,0.61,+0.88%,1.1M,2.261M,21.87B,12.84,
DAL,"Delta Air Lines, Inc.",33.69,0.23,+0.69%,6.144M,10.03M,21.603B,16.2,
RYAAY,Ryanair Holdings plc,94.0,3.5,+3.87%,"576,806","382,070",21.407B,14.22,
SQM,Sociedad Química y Minera de Chile S.A.,73.36,-0.45,-0.61%,1.246M,1.626M,20.954B,5.36,
PKX,POSCO Holdings Inc.,67.93,-1.81,-2.60%,"386,406","231,429",20.866B,9.12,
LH,Laboratory Corporation of America Holdings,232.18,-1.83,-0.78%,"406,598","614,717",20.548B,16.62,
CNHI,CNH Industrial N.V.,13.86,0.13,+0.95%,7.325M,4.907M,19.853B,10.27,
MTB,M&T Bank Corporation,117.57,0.16,+0.14%,1.448M,1.93M,19.757B,10.2,
ERIC,Telefonaktiebolaget LM Ericsson (publ),5.88,0.02,+0.34%,8.804M,10.094M,19.581B,10.89,
RJF,"Raymond James Financial, Inc.",89.35,-0.43,-0.48%,1.278M,1.591M,19.323B,12.44,
CNP,"CenterPoint Energy, Inc.",30.77,0.38,+1.25%,4.625M,3.942M,19.416B,19.35,
IX,ORIX Corporation,81.94,0.13,+0.16%,"24,006","26,756",18.914B,8.21,
CTRA,Coterra Energy Inc.,24.94,-0.47,-1.85%,5.164M,9.258M,19.092B,4.91,
ELP,Companhia Paranaense de Energia - COPEL,6.84,0.0,0.00%,"375,573","407,987",18.718B,62.18,
SWKS,"Skyworks Solutions, Inc.",111.35,-1.13,-1.00%,1.25M,1.829M,17.722B,15.17,
STLD,"Steel Dynamics, Inc.",103.43,0.21,+0.20%,1.67M,1.891M,17.656B,4.94,
